created,district,email,id,last_modified,name_first,name_last,roles_teacher_credentials_district_username,roles_teacher_legacy_id,roles_teacher_school,roles_teacher_schools,roles_teacher_sis_id,roles_teacher_state_id,roles_teacher_teacher_number,roles_teacher_title,school_id,school_name,name_middle
2021-03-10T03:18:12.702Z,5940d0b58ec81e0001541ef3,alexander.keihanaikukauakahihuliheekahaunaele.139359@example.com,60482973a24d9900a0a49c55,2021-03-10T03:18:12.702Z,Alexander,Keihanaikukauakahihuliheekahaunaele,"",5940d26c480568ae7e003f7e,5940d254203e37907e000100,5940d254203e37907e000100,139359,"",139359,Teacher,5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.704Z,5940d0b58ec81e0001541ef3,liam.jinglehimerschmidt.121819@example.com,60482973a24d9900a0a49c56,2021-03-10T03:18:12.704Z,Liam,Jinglehimerschmidt,"",5940d26a480568ae7e003986,5940d254203e37907e000100,5940d254203e37907e000100,121819,53628547,121819,Teacher,5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.705Z,5940d0b58ec81e0001541ef3,noah.jones.124563@example.com,60482973a24d9900a0a49c57,2021-03-10T03:18:12.705Z,Noah,Jones,"",5940d26a480568ae7e0039c9,5940d254203e37907e000100,5940d254203e37907e000100,124563,50567344,124563,"",5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.707Z,5940d0b58ec81e0001541ef3,kistiñe.jinglehimer'schmidt.124706@example.com,60482973a24d9900a0a49c58,2021-03-10T03:18:12.707Z,Kistiñe,Jinglehimer'schmidt,"",5940d26a480568ae7e0039f8,5940d254203e37907e000100,5940d254203e37907e000100,124706,51101279,124706,Teacher,5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.710Z,5940d0b58ec81e0001541ef3,matthew.wilson.125221@example.com,60482973a24d9900a0a49c59,2021-03-10T03:18:12.710Z,Matthew,Wilson,"",5940d26a480568ae7e003a71,5940d254203e37907e000100,5940d254203e37907e000100,125221,51645781,125221,"",5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.712Z,5940d0b58ec81e0001541ef3,benjamin.smith.125453@example.com,60482973a24d9900a0a49c5a,2021-03-10T03:18:12.712Z,Benjamin,Smith,"",5940d26a480568ae7e003a90,5940d254203e37907e000100,5940d254203e37907e000100,125453,50890861,125453,"",5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.714Z,5940d0b58ec81e0001541ef3,benjamin.garcia.108035@example.com,60482973a24d9900a0a49c5b,2021-03-10T03:18:12.714Z,Benjamin,Garcia,"",5940d268480568ae7e0035c9,5940d254203e37907e000100,5940d254203e37907e000100,108035,51971388,108035,"",5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.716Z,5940d0b58ec81e0001541ef3,noah.jinglehimer-schmidt.127945@example.com,60482973a24d9900a0a49c5c,2021-03-10T03:18:12.716Z,Noah,Jinglehimer-schmidt,"",5940d26a480568ae7e003b1a,5940d254203e37907e000100,5940d254203e37907e000100,127945,53604967,127945,"",5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.718Z,5940d0b58ec81e0001541ef3,mary-jane.harris.130187@example.com,60482973a24d9900a0a49c5d,2021-03-10T03:18:12.718Z,Mary-Jane,Harris,"",5940d26a480568ae7e003bc0,5940d254203e37907e000100,5940d254203e37907e000100,130187,53908133,130187,Teacher,5940d254203e37907e0000f8,Cowlgiant,
2021-03-10T03:18:12.719Z,5940d0b58ec81e0001541ef3,david.martinez.130274@example.com,60482973a24d9900a0a49c5e,2021-03-10T03:18:12.719Z,David,Martinez,"",5940d26b480568ae7e003be7,5940d254203e37907e000100,5940d254203e37907e000100,130274,53878589,130274,Teacher,5940d254203e37907e0000f8,Cowlgiant,
